video_name;original_video;part;start_time;task_CVAT;Hz_CVAT;annotator;checked;duration_sec;video_available;pen;breed;nr_animals;CVAT_1;CVAT_2;CVAT_3;CVAT_4;CVAT_5;CVAT_6;CVAT_7;CVAT_8;CVAT_9;CVAT_10;CVAT_11
02_20220111112402_part2;02_20220111112402_part2;;11:57:49;676;20;C;TRUE;123;TRUE;3;IB;11;1;3;9;5;6;4;10;u;u;;
01_20220108115951_part1_1;01_20220108115951_part1;1;11:59:51;724;2;A;TRUE;120;TRUE;9;DW;11;12;1;3;4;5;6;u;8;9;2;
01_20220108115951_part1_2;01_20220108115951_part1;2;12:01:51;725;1;B;TRUE;120;TRUE;9;DW;11;1;2;3;4;6;7;8;9;12;u;
01_20220108115951_part1_3;01_20220108115951_part1;3;12:03:50;726;1;A;TRUE;121;TRUE;9;DW;11;6;8;12;9;4;2;1;7;3;5;10
01_20220108115951_part1_4;01_20220108115951_part1;4;12:05:49;727;1;B;TRUE;121;TRUE;9;DW;11;1;2;12;4;5;6;7;8;9;10;
01_20220108115951_part1_5;01_20220108115951_part1;5;12:07:50;728;1;A;TRUE;120;TRUE;9;DW;11;8;6;4;1;9;12;2;5;7;10;
01_20220108115951_part1_6;01_20220108115951_part1;6;12:09:51;729;1;B;TRUE;120;TRUE;9;DW;11;1;12;2;4;5;6;7;8;9;u;u
01_20220108115951_part1_7;01_20220108115951_part1;7;12:11:50;730;1;A;TRUE;121;TRUE;9;DW;11;1;7;5;4;8;9;2;12;6;10;3
01_20220108115951_part1_8;01_20220108115951_part1;8;12:13:49;731;1;B;TRUE;121;TRUE;9;DW;11;1;12;3;4;5;6;7;8;9;10;2
06_20211217112157_part1_1;06_20211217112157_part1;1;11:21:57;732;1;A;TRUE;120;TRUE;2;IB;9;17;18;16;20;14;15;13;u;11;;
06_20211217112157_part1_2;06_20211217112157_part1;2;11:23:58;733;1;A;TRUE;120;TRUE;2;IB;9;17;18;u;16;15;20;13;11;14;;
06_20211217112157_part1_3;06_20211217112157_part1;3;11:25:57;734;1;B;TRUE;120;TRUE;2;IB;9;11;12;13;14;15;16;17;18;20;;
06_20211217112157_part1_4;06_20211217112157_part1;4;11:27:58;735;1;A;TRUE;120;TRUE;2;IB;9;17;12;16;20;18;13;11;14;15;;
06_20211217112157_part1_5;06_20211217112157_part1;5;11:29:58;736;1;A;TRUE;120;TRUE;2;IB;9;20;17;12;16;11;18;14;13;15;;
06_20211217112157_part1_6;06_20211217112157_part1;6;11:31:58;737;1;A;TRUE;120;TRUE;2;IB;9;15;17;20;18;11;16;14;12;13;;
06_20211217112157_part1_7;06_20211217112157_part1;7;11:33:59;738;1;B;TRUE;120;TRUE;2;IB;9;11;12;u;14;15;16;17;18;20;;
06_20211217112157_part1_8;06_20211217112157_part1;8;11:35:57;744;1;A;TRUE;120;TRUE;2;IB;9;14;17;u;12;11;20;16;u;18;;
06_20211217112157_part1_9;06_20211217112157_part1;9;11:37:58;745;1;A;TRUE;120;TRUE;2;IB;9;17;u;14;u;12;16;11;20;18;;
06_20211217112157_part1_10;06_20211217112157_part1;10;11:39:57;746;1;A;TRUE;120;TRUE;2;IB;9;17;11;u;u;12;16;14;20;18;;
05_20220108114710_part_1;05_20220108114710;1;11:47:10;747;1;B;TRUE;120;TRUE;10;IB;9;15;20;19;14;u;18;13;u;17;;
05_20220108114710_part_2;05_20220108114710;2;11:49:10;748;1;A;TRUE;120;TRUE;10;IB;9;u;19;14;u;20;u;u;17;18;;
05_20220108114710_part_3;05_20220108114710;3;11:51:09;749;1;A;TRUE;120;TRUE;10;IB;9;u;14;17;u;20;u;u;19;u;;
05_20220108114710_part_4;05_20220108114710;4;11:53:08;750;1;A;TRUE;121;TRUE;10;IB;9;14;20;u;u;u;u;u;u;17;;
05_20220108114710_part_5;05_20220108114710;5;11:55:09;751;1;B;TRUE;120;TRUE;10;IB;9;u;15;u;u;14;u;u;u;u;;
05_20220108114710_part_6;05_20220108114710;6;11:57:08;752;1;A;TRUE;121;TRUE;10;IB;9;u;u;u;u;u;u;17;14;u;;
07_20220108115953_part2_1;07_20220108115953_part2;1;12:37:39;753;1;A;TRUE;120;TRUE;12;DW;10;u;19;11;20;14;18;13;17;15;12;
07_20220108115953_part2_2;07_20220108115953_part2;2;12:39:38;754;1;B;TRUE;121;TRUE;12;DW;10;11;12;13;14;15;u;17;18;19;20;
07_20220108115953_part2_3;07_20220108115953_part2;3;12:41:38;755;1;A;TRUE;120;TRUE;12;DW;10;u;19;11;15;14;18;13;20;17;12;
07_20220108115953_part2_4;07_20220108115953_part2;4;12:43:37;756;1;A;TRUE;121;TRUE;12;DW;10;u;19;15;14;18;11;20;13;17;12;
07_20220108115953_part2_5;07_20220108115953_part2;5;12:45:39;757;1;A;TRUE;120;TRUE;12;DW;10;u;19;11;14;15;18;17;20;13;12;
07_20220108115953_part2_6;07_20220108115953_part2;6;12:47:39;758;1;B;TRUE;120;TRUE;12;DW;10;11;12;13;14;15;u;17;18;19;20;
03_20220108075951_part2_1;03_20220108075951_part2;1;08:33:50;759;1;A;TRUE;120;TRUE;17;DW;11;3;9;10;8;7;u;5;2;4;;
03_20220108075951_part2_2;03_20220108075951_part2;2;08:35:52;760;1;A;TRUE;120;TRUE;17;DW;11;10;3;5;9;u;4;8;2;7;6;
03_20220108075951_part2_3;03_20220108075951_part2;3;08:37:52;761;1;B;TRUE;120;TRUE;17;DW;11;2;3;4;5;6;7;8;9;10;15;
03_20220108075951_part2_4;03_20220108075951_part2;4;08:39:52;762;1;A;TRUE;120;TRUE;17;DW;11;5;2;10;15;7;3;6;8;4;1;
03_20220108075951_part2_5;03_20220108075951_part2;5;08:41:52;763;1;B;TRUE;120;TRUE;17;DW;11;1;2;15;6;7;8;5;10;3;4;
03_20220108075951_part2_6;03_20220108075951_part2;6;08:43:53;764;1;B;TRUE;120;TRUE;17;DW;11;1;2;15;4;5;6;7;8;10;;
10_20220108115949_part2_1;10_20220108115949_part2;1;12:33:46;765;1;A;TRUE;120;TRUE;16;IB;9;19;20;u;12;11;u;;;;;
10_20220108115949_part2_2;10_20220108115949_part2;2;12:35:47;766;1;A;TRUE;119;TRUE;16;IB;9;u;u;12;20;19;11;;;;;
10_20220108115949_part2_3;10_20220108115949_part2;3;12:37:46;767;1;B;TRUE;120;TRUE;16;IB;9;u;11;u;20;u;;;;;;
10_20220108115949_part2_4;10_20220108115949_part2;4;12:39:46;768;1;C;TRUE;119;TRUE;16;IB;9;u;u;u;11;20;;;;;;
10_20220108115949_part2_5;10_20220108115949_part2;5;12:41:46;771;1;A;TRUE;120;TRUE;16;IB;9;19;16;u;20;11;;;;;;
10_20220108115949_part2_6;10_20220108115949_part2;6;12:43:46;772;1;B;TRUE;119;TRUE;16;IB;9;u;20;u;u;u;;;;;;
11_20220108105951_part1_1;11_20220108105951_part1;1;10:59:51;773;1;B;TRUE;120;TRUE;14;IB;10;16;20;13;18;12;u;17;15;19;;
11_20220108105951_part1_2;11_20220108105951_part1;2;11:00:51;774;1;A;TRUE;119;TRUE;14;IB;10;20;16;13;18;11;12;17;19;15;u;
11_20220108105951_part1_3;11_20220108105951_part1;3;11:03:51;775;1;B;TRUE;119;TRUE;14;IB;10;18;19;12;16;11;15;13;u;17;20;
11_20220108105951_part1_4;11_20220108105951_part1;4;11:05:51;776;1;A;TRUE;120;TRUE;14;IB;10;12;u;17;u;13;18;15;20;11;16;
11_20220108105951_part1_5;11_20220108105951_part1;5;11:07:51;777;1;B;TRUE;120;TRUE;14;IB;10;u;20;u;13;17;18;15;u;12;11;
11_20220108105951_part1_6;11_20220108105951_part1;6;11:09:51;778;1;A;TRUE;119;TRUE;14;IB;10;u;u;13;20;19;17;u;12;u;u;
01_20220110073318_1;01_20220110073318;1;07:33:19;803;1;A;TRUE;118;TRUE;8;IB;9;18;u;u;u;16;11;20;u;u;;
01_20220110073318_2;01_20220110073318;2;07:35:19;804;1;B;TRUE;120;TRUE;8;IB;9;18;u;u;19;11;16;u;20;u;;
01_20220110073318_3;01_20220110073318;3;07:37:29;806;1;B;TRUE;120;TRUE;8;IB;9;11;u;u;u;16;17;u;20;19;;
p01t_07_20220102074423_2;p01t_07_20220102074423;2;07:46:22;812;1;A;TRUE;119;TRUE;1;DW;10;u;6;3;10;5;1;9;2;7;8;
p01t_07_20220102074423_3;p01t_07_20220102074423;3;07:48:22;813;1;B;TRUE;119;TRUE;1;DW;10;1;2;3;u;5;6;7;8;10;9;
p02t_06_20220112171551_1;p02t_06_20220112171551;1;17:15:53;814;1;A;TRUE;120;TRUE;2;IB;9;16;27;15;11;20;14;12;u;u;;
p02t_06_20220112171551_2;p02t_06_20220112171551;2;17:17:53;815;1;B;TRUE;119;TRUE;2;IB;9;17;16;15;11;20;u;u;u;u;;
p02t_06_20220112171551_3;p02t_06_20220112171551;3;17:19:53;816;1;B;TRUE;119;TRUE;2;IB;9;16;17;11;15;20;u;u;u;14;;
02_20220111065954_part2_BA;02_20220111065954_part2;1;07:35:09;840;1;A;TRUE;120;TRUE;3;IB;10;u;u;u;u;u;1;u;u;u;u;
02_20220111065954_part2_BB;02_20220111065954_part2;2;07:37:09;841;1;A;TRUE;120;TRUE;3;IB;10;u;u;u;u;u;1;u;u;u;u;
02_20220111065954_part2_BC;02_20220111065954_part2;3;07:39:09;842;1;A;TRUE;120;TRUE;3;IB;10;u;u;u;u;u;1;u;u;u;u;
02_20220111065954_part2_BD;02_20220111065954_part2;4;07:41:08;843;1;A;TRUE;120;TRUE;3;IB;10;u;8;u;u;u;1;3;u;u;2;
02_20220111065954_part2_BE;02_20220111065954_part2;5;07:43:09;844;1;A;TRUE;120;TRUE;3;IB;10;u;u;u;u;u;1;u;u;u;u;
02_20220111065955_part2_WA;02_20220111065955_part2;1;07:34:06;845;1;B;TRUE;120;TRUE;19;DW;10;1;2;3;u;5;6;7;8;9;10;
02_20220111065955_part2_WB;02_20220111065955_part2;2;07:36:05;846;1;B;TRUE;120;TRUE;19;DW;10;1;2;3;4;5;6;7;8;9;10;
02_20220111065955_part2_WC;02_20220111065955_part2;3;07:38:04;847;1;B;TRUE;122;TRUE;19;DW;10;1;2;3;4;5;6;7;8;9;10;
